Dc1,Dc2,hC,tC1,tC2,PC,Lamda1,A1,Lamda2,A2,,,,,,,,
0.8,1.2,7,0.1,0.5,1.5,9.8,87.511,12.8,93.284,,,,,,,,
0.81,1.2,7,0.1,0.5,1.5,9.8,87.473,12.8,93.312,,,,,,,,
0.82,1.2,7,0.1,0.5,1.5,9.8,87.437,12.9,93.366,,,,,,,,
0.83,1.2,7,0.1,0.5,1.5,9.8,87.394,12.9,93.391,,,,,,,,
0.84,1.2,7,0.1,0.5,1.5,9.8,87.346,13,93.415,,,,,,,,
0.85,1.2,7,0.1,0.5,1.5,9.8,87.298,13,93.435,,,,,,,,
0.86,1.2,7,0.1,0.5,1.5,9.8,87.253,13,93.387,,,,,,,,
0.87,1.2,7,0.1,0.5,1.5,9.8,87.194,13,93.275,,,,,,,,
0.88,1.2,7,0.1,0.5,1.5,9.8,87.142,13,93.101,,,,,,,,
0.89,1.2,7,0.1,0.5,1.5,9.8,87.092,13,92.863,,,,,,,,
0.9,1.2,7,0.1,0.5,1.5,9.8,87.034,13,92.554,,,,,,,,
0.91,1.2,7,0.1,0.5,1.5,9.7,86.997,13,92.188,,,,,,,,
0.92,1.2,7,0.1,0.5,1.5,9.7,86.96,13,91.762,,,,,,,,
0.93,1.2,7,0.1,0.5,1.5,9.7,86.92,13,91.277,,,,,,,,
0.94,1.2,7,0.1,0.5,1.5,9.7,86.881,13,90.731,,,,,,,,
0.95,1.2,7,0.1,0.5,1.5,9.7,86.842,13,90.131,,,,,,,,
0.96,1.2,7,0.1,0.5,1.5,8,87.382,13,89.493,,,,,,,,
0.97,1.2,7,0.1,0.5,1.5,8,87.938,13,88.799,,,,,,,,
0.98,1.2,7,0.1,0.5,1.5,8,88.469,13,88.062,,,,,,,,
0.99,1.2,7,0.1,0.5,1.5,8,89.002,13,87.268,,,,,,,,
1,1.2,7,0.1,0.5,1.5,8,89.469,9.7,86.602,,,,,,,,
1.01,1.2,7,0.1,0.5,1.5,8,89.922,9.7,86.547,,,,,,,,
1.02,1.2,7,0.1,0.5,1.5,8,90.345,9.7,86.496,,,,,,,,
1.03,1.2,7,0.1,0.5,1.5,8,90.733,9.7,86.441,,,,,,,,
1.04,1.2,7,0.1,0.5,1.5,8.1,91.163,9.7,86.382,,,,,,,,
1.05,1.2,7,0.1,0.5,1.5,8.1,91.708,9.7,86.324,,,,,,,,
1.06,1.2,7,0.1,0.5,1.5,8.1,92.234,9.7,86.266,,,,,,,,
1.07,1.2,7,0.1,0.5,1.5,8.1,92.733,9.7,86.203,,,,,,,,
1.08,1.2,7,0.1,0.5,1.5,8.1,93.194,9.7,86.141,,,,,,,,
1.09,1.2,7,0.1,0.5,1.5,8.1,93.618,9.7,86.077,,,,,,,,
1.1,1.2,7,0.1,0.5,1.5,8.1,94.002,9.7,86.013,,,,,,,,
1.11,1.2,7,0.1,0.5,1.5,8.1,94.354,9.7,85.949,,,,,,,,
1.12,1.2,7,0.1,0.5,1.5,8.1,94.672,9.7,85.878,,,,,,,,
1.13,1.2,7,0.1,0.5,1.5,8.2,94.975,9.7,85.809,,,,,,,,
1.14,1.2,7,0.1,0.5,1.5,8.2,95.456,9.7,85.742,,,,,,,,
1.15,1.2,7,0.1,0.5,1.5,8.2,95.903,9.7,85.667,,,,,,,,
1.16,1.2,7,0.1,0.5,1.5,8.2,96.301,9.7,85.599,,,,,,,,
1.17,1.2,7,0.1,0.5,1.5,8.2,96.666,9.6,85.551,,,,,,,,
1.18,1.2,7,0.1,0.5,1.5,8.2,96.986,9.6,85.502,,,,,,,,
1.19,1.2,7,0.1,0.5,1.5,8.2,97.256,9.6,85.455,,,,,,,,
1.2,1.2,7,0.1,0.5,1.5,8.2,97.482,9.6,85.406,,,,,,,,
0.8,1.21,7,0.1,0.5,1.5,9.8,87.642,12.8,93.325,,,,,,,,
0.8,1.22,7,0.1,0.5,1.5,9.8,87.727,12.9,93.396,,,,,,,,
0.8,1.23,7,0.1,0.5,1.5,9.8,87.837,12.9,93.426,,,,,,,,
0.8,1.24,7,0.1,0.5,1.5,9.8,87.95,13,93.469,,,,,,,,
0.8,1.25,7,0.1,0.5,1.5,9.8,88.06,13,93.487,,,,,,,,
0.8,1.26,7,0.1,0.5,1.5,9.8,88.178,13,93.435,,,,,,,,
0.8,1.27,7,0.1,0.5,1.5,9.8,88.299,13,93.321,,,,,,,,
0.8,1.28,7,0.1,0.5,1.5,9.8,88.421,13,93.144,,,,,,,,
0.8,1.29,7,0.1,0.5,1.5,9.8,88.546,13,92.905,,,,,,,,
0.8,1.3,7,0.1,0.5,1.5,9.8,88.675,13,92.617,,,,,,,,
0.8,1.31,7,0.1,0.5,1.5,9.8,88.797,13,92.273,,,,,,,,
0.8,1.32,7,0.1,0.5,1.5,9.8,88.929,13,91.882,,,,,,,,
0.8,1.33,7,0.1,0.5,1.5,9.8,89.06,13,91.451,,,,,,,,
0.8,1.34,7,0.1,0.5,1.5,9.8,89.193,13,90.983,,,,,,,,
0.8,1.35,7,0.1,0.5,1.5,9.8,89.333,13,90.477,,,,,,,,
0.8,1.36,7,0.1,0.5,1.5,9.8,89.464,13,89.947,,,,,,,,
0.8,1.37,7,0.1,0.5,1.5,8.1,89.701,9.8,89.601,,,,,,,,
0.8,1.38,7,0.1,0.5,1.5,8.1,90.274,9.8,89.74,,,,,,,,
0.8,1.39,7,0.1,0.5,1.5,8.1,90.797,9.8,89.878,,,,,,,,
0.8,1.4,7,0.1,0.5,1.5,8.1,91.265,9.8,90.014,,,,,,,,
0.8,1.41,7,0.1,0.5,1.5,8.1,91.673,9.8,90.153,,,,,,,,
0.8,1.42,7,0.1,0.5,1.5,8.2,92.293,9.8,90.288,,,,,,,,
0.8,1.43,7,0.1,0.5,1.5,8.2,92.872,9.8,90.425,,,,,,,,
0.8,1.44,7,0.1,0.5,1.5,8.2,93.393,9.8,90.562,,,,,,,,
0.8,1.45,7,0.1,0.5,1.5,8.2,93.862,9.8,90.695,,,,,,,,
0.8,1.46,7,0.1,0.5,1.5,8.2,94.264,9.8,90.826,,,,,,,,
0.8,1.47,7,0.1,0.5,1.5,8.2,94.593,9.8,90.961,,,,,,,,
0.8,1.48,7,0.1,0.5,1.5,8.3,95.152,9.8,91.089,,,,,,,,
0.8,1.49,7,0.1,0.5,1.5,8.3,95.653,9.8,91.216,,,,,,,,
0.8,1.5,7,0.1,0.5,1.5,8.3,96.102,9.8,91.334,,,,,,,,
0.8,1.2,7.1,0.1,0.5,1.5,9.8,86.845,12.9,92.723,,,,,,,,
0.8,1.2,7.2,0.1,0.5,1.5,9.8,86.229,12.9,92.12,,,,,,,,
0.8,1.2,7.3,0.1,0.5,1.5,9.8,85.679,13,91.473,,,,,,,,
0.8,1.2,7.4,0.1,0.5,1.5,9.8,85.215,13,90.724,,,,,,,,
0.8,1.2,7.5,0.1,0.5,1.5,8,85.11,13,89.869,,,,,,,,
0.8,1.2,7.6,0.1,0.5,1.5,8,86.331,13,88.936,,,,,,,,
0.8,1.2,7.7,0.1,0.5,1.5,8,87.285,13,87.967,,,,,,,,
0.8,1.2,7.8,0.1,0.5,1.5,8,87.889,13,86.981,,,,,,,,
0.8,1.2,7.9,0.1,0.5,1.5,8.1,88.581,13,86.016,,,,,,,,
0.8,1.2,8,0.1,0.5,1.5,8.1,89.262,13,85.089,,,,,,,,
0.8,1.2,8.1,0.1,0.5,1.5,8.1,89.644,9.9,84.829,,,,,,,,
0.8,1.2,8.2,0.1,0.5,1.5,8.2,89.987,9.9,85.245,,,,,,,,
0.8,1.2,8.3,0.1,0.5,1.5,8.2,90.493,9.9,85.757,,,,,,,,
0.8,1.2,8.4,0.1,0.5,1.5,8.2,90.627,10,86.373,,,,,,,,
